,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
115,Girl,"Myke Towers",6457886,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
116,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,6435042,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
117,"rockstar (feat. 21 Savage)","Post Malone",6423221,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
118,Dior,"Pop Smoke",6411187,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
119,Bruises,"Lewis Capaldi",6405508,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
120,Respect,BTS,6373954,https://open.spotify.com/track/37TSJmYKLxXmx8OehFpqMN
121,"ocean eyes","Billie Eilish",6372355,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
122,Ransom,"Lil Tecca",6357163,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
123,"Bohemian Rhapsody - 2011 Mix",Queen,6341069,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
124,Sucker,"Jonas Brothers",6277300,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
125,"Without Me",Halsey,6222698,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
126,"Bellaquita - Remix",Dalex,6199616,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
127,Wow.,"Post Malone",6170891,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
128,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,6143239,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
129,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",6139108,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
130,Definitivamente,"Daddy Yankee",6119079,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
131,"Shape of You","Ed Sheeran",6113353,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
132,"Adicto (with Anuel AA & Ozuna)",Tainy,6092370,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
133,"Get You The Moon (feat. Snøw)",Kina,6076372,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
134,Robbery,"Juice WRLD",5967430,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
135,"Money In The Grave (Drake ft. Rick Ross)",Drake,5935491,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
136,"Say You Won't Let Go","James Arthur",5926960,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
137,Aventura,Lunay,5919025,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
138,"Que Tire Pa Lante","Daddy Yankee",5906299,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
139,"Good as Hell (feat. Ariana Grande)",Lizzo,5846409,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
140,Falling,"Harry Styles",5813360,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
141,VIBEZ,DaBaby,5800737,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
142,"Lights Up","Harry Styles",5722994,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
143,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",5697657,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
144,"SICKO MODE","Travis Scott",5692719,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
145,"Dancing With A Stranger (with Normani)","Sam Smith",5683370,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
146,SAD!,XXXTENTACION,5664416,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
147,July,"Noah Cyrus",5624935,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
148,"Jocelyn Flores",XXXTENTACION,5603493,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
149,"Go Stupid","Polo G",5601464,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
150,"me & ur ghost",blackbear,5571126,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
151,Maniac,"Conan Gray",5557236,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
152,Perfect,"Ed Sheeran",5548377,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
153,"Piece Of Your Heart",MEDUZA,5542188,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
154,"Tudo Ok","Thiaguinho MT",5510844,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
155,Quizas,"Rich Music LTD",5497408,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
156,"No Judgement","Niall Horan",5449684,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
157,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",5430476,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
158,"Trampoline (with ZAYN)",SHAED,5397892,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
159,"Eastside (with Halsey & Khalid)","benny blanco",5389964,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
160,"Sweet but Psycho","Ava Max",5387339,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
161,"bury a friend","Billie Eilish",5383482,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
162,"I Like Me Better",Lauv,5372224,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
